         1955994 function calls (1948908 primitive calls) in 9.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    6.694    6.694    6.903    6.903 {built-in method exec_}
      280    0.817    0.003    2.243    0.008 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:110(two_change)
    84730    0.374    0.000    1.296    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:44(CalculateFitness)
    86921    0.207    0.000    0.207    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    84826    0.124    0.000    0.124    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
180399/175510    0.119    0.000    0.902    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    86642    0.111    0.000    0.368    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
    84732    0.084    0.000    0.454    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2105(sum)
    84300    0.079    0.000    1.368    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:28(__init__)
    86113    0.067    0.000    0.067    0.000 {method 'copy' of 'numpy.ndarray' objects}
    84731    0.056    0.000    0.056    0.000 {method 'argmin' of 'numpy.ndarray' objects}
    84826    0.050    0.000    0.230    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2418(cumsum)
    84826    0.046    0.000    0.326    0.000 <__array_function__ internals>:2(cumsum)
    84732    0.046    0.000    0.542    0.000 <__array_function__ internals>:2(sum)
    85556    0.042    0.000    0.193    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:52(_wrapfunc)
        1    0.040    0.040    0.040    0.040 {built-in method show}
    86642    0.040    0.000    0.040    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:71(<dictcomp>)
      244    0.029    0.000    0.029    0.000 {built-in method nt._getfinalpathname}
     1400    0.027    0.000    0.037    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:495(in1d)
    93689    0.020    0.000    0.021    0.000 {built-in method builtins.isinstance}
    90646    0.018    0.000    0.019    0.000 {built-in method builtins.getattr}
        8    0.016    0.002    0.017    0.002 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:705(_icon)
       61    0.012    0.000    0.012    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
    90353    0.012    0.000    0.012    0.000 {method 'items' of 'dict' objects}
    84826    0.012    0.000    0.012    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2414(_cumsum_dispatcher)
      533    0.012    0.000    0.016    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:2889(_bind)
    11060    0.011    0.000    0.011    0.000 {built-in method numpy.array}
        1    0.011    0.011    0.011    0.011 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:96(_create_qApp)
     1826    0.010    0.000    0.017    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:309(_unique1d)
    84732    0.010    0.000    0.010    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2100(_sum_dispatcher)
      560    0.008    0.000    0.018    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
        1    0.008    0.008    0.032    0.032 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\backends\backend_qt5.py:535(__init__)
      280    0.007    0.000    0.095    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:58(recombination)
        1    0.006    0.006    0.006    0.006 {built-in method sizeHint}
      580    0.006    0.000    0.006    0.000 {method 'permutation' of 'numpy.random.mtrand.RandomState' objects}
        1    0.006    0.006    0.006    0.006 {method 'take' of 'numpy.ndarray' objects}
     4850    0.004    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\__init__.py:686(__getitem__)
      285    0.003    0.000    0.013    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:972(update)
3803/3281    0.003    0.000    0.005    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:213(stale)
       78    0.003    0.000    0.013    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:699(format_data_short)
      430    0.003    0.000    0.007    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
        1    0.003    0.003    0.013    0.013 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1316(_findfont_cached)
     1826    0.003    0.000    0.022    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:149(unique)
     2035    0.003    0.000    0.003    0.000 {method 'sort' of 'numpy.ndarray' objects}
  533/113    0.002    0.000    0.182    0.002 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\deprecation.py:384(wrapper)
        1    0.002    0.002    9.469    9.469 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:136(EvolutionaryAlgorithm)
      805    0.002    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:185(set_children)
        8    0.002    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\ticker.py:247(format_ticks)
      430    0.002    0.000    0.017    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:48(mutate)
       63    0.002    0.000    0.016    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:269(__init__)
      525    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1192(score_stretch)
     2536    0.002    0.000    0.002    0.000 {built-in method numpy.empty}
       38    0.002    0.000    0.006    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:650(recache)
      716    0.002    0.000    0.012    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:39(_wrapit)
       53    0.002    0.000    0.047    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:266(_get_layout)
      171    0.002    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:1682(normalize_kwargs)
      644    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2045(_setattr_cm)
      152    0.002    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\artist.py:69(__init__)
      957    0.002    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1832(__init__)
      122    0.002    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\ntpath.py:450(normpath)
       35    0.002    0.000    0.036    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\text.py:665(draw)
      280    0.002    0.000    0.011    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:347(intersect1d)
      560    0.002    0.000    0.027    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:123(selection)
     9015    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\inspect.py:2539(kind)
      525    0.002    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1131(score_family)
     2188    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:107(__init__)
     1423    0.002    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:1702(__init__)
     5358    0.002    0.000    0.004    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_asarray.py:86(asanyarray)
     4706    0.002    0.000    0.007    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\_asarray.py:14(asarray)
       61    0.001    0.000    0.018    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\font_manager.py:1411(get_font)
  380/208    0.001    0.000    0.006    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:2366(get_affine)
       11    0.001    0.000    0.002    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1550    0.001    0.000    0.012    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2881(prod)
10738/10737    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      560    0.001    0.000    0.032    0.000 C:\Users\chidi\anaconda3\lib\site-packages\numpy\lib\arraysetops.py:756(setdiff1d)
      560    0.001    0.000    0.001    0.000 c:/Users/chidi/OneDrive/Desktop/KUL/MAI/Sem 1/EA/Knapsack GA/Sln/Knapsack.py:125(<listcomp>)
      150    0.001    0.000    0.002    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\cbook\__init__.py:2219(_check_isinstance)
     3978    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     1047    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      122    0.001    0.000    0.036    0.000 C:\Users\chidi\anaconda3\lib\ntpath.py:625(realpath)
     1826    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     4852    0.001    0.000    0.001    0.000 {function RcParams.__getitem__ at 0x000002A2C90F8B80}
       19    0.001    0.000    0.026    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\axis.py:56(__init__)
     1550    0.001    0.000    0.014    0.000 <__array_function__ internals>:2(prod)
     8064    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       45    0.001    0.000    0.013    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\lines.py:734(draw)
       77    0.001    0.000    0.047    0.001 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\patches.py:761(_update_patch_transform)
      206    0.001    0.000    0.003    0.000 C:\Users\chidi\anaconda3\lib\site-packages\matplotlib\transforms.py:766(__init__)
     1826    0.001    0.000    0.024    0.000 <__array_function__ internals>:2(unique)
